Source ,Relation,Targer 
ApplicationCollaboration,FlowRelationship,ApplicationComponent
ApplicationCollaboration,AggregationRelationship,ApplicationComponent
ApplicationCollaboration,AssociationRelationship,ApplicationComponent
ApplicationCollaboration,RealizationRelationship,ApplicationComponent
ApplicationCollaboration,TriggeringRelationship,ApplicationComponent
ApplicationCollaboration,ServingRelationship,ApplicationComponent
ApplicationComponent,CompositionRelationship,ApplicationComponent
ApplicationComponent,FlowRelationship,ApplicationComponent
ApplicationComponent,AggregationRelationship,ApplicationComponent
ApplicationComponent,AssociationRelationship,ApplicationComponent
ApplicationComponent,RealizationRelationship,ApplicationComponent
ApplicationComponent,SpecializationRelationship,ApplicationComponent
ApplicationComponent,TriggeringRelationship,ApplicationComponent
ApplicationComponent,ServingRelationship,ApplicationComponent
ApplicationComponent,FlowRelationship,ApplicationCollaboration
ApplicationComponent,AssociationRelationship,ApplicationCollaboration
ApplicationComponent,TriggeringRelationship,ApplicationCollaboration
ApplicationComponent,ServingRelationship,ApplicationCollaboration
ApplicationProcess,FlowRelationship,ApplicationService
ApplicationProcess,AssignmentRelationship,ApplicationService
ApplicationProcess,AssociationRelationship,ApplicationService
ApplicationProcess,TriggeringRelationship,ApplicationService
ApplicationProcess,ServingRelationship,ApplicationService
ApplicationFunction,FlowRelationship,ApplicationService
ApplicationFunction,AssignmentRelationship,ApplicationService
ApplicationFunction,AssociationRelationship,ApplicationService
ApplicationFunction,TriggeringRelationship,ApplicationService
ApplicationFunction,ServingRelationship,ApplicationService
ApplicationInteraction,FlowRelationship,ApplicationService
ApplicationInteraction,AssignmentRelationship,ApplicationService
ApplicationInteraction,AssociationRelationship,ApplicationService
ApplicationInteraction,TriggeringRelationship,ApplicationService
ApplicationInteraction,ServingRelationship,ApplicationService
ApplicationProcess,AccessRelationship,DataObject
ApplicationProcess,AssociationRelationship,DataObject
ApplicationFunction,AccessRelationship,DataObject
ApplicationFunction,AssociationRelationship,DataObject
ApplicationInteraction,AccessRelationship,DataObject
ApplicationInteraction,AssociationRelationship,DataObject
ApplicationProcess,FlowRelationship,ApplicationEvent
ApplicationProcess,AssociationRelationship,ApplicationEvent
ApplicationProcess,TriggeringRelationship,ApplicationEvent
ApplicationProcess,ServingRelationship,ApplicationEvent
ApplicationFunction,FlowRelationship,ApplicationEvent
ApplicationFunction,AssociationRelationship,ApplicationEvent
ApplicationFunction,TriggeringRelationship,ApplicationEvent
ApplicationFunction,ServingRelationship,ApplicationEvent
ApplicationInteraction,FlowRelationship,ApplicationEvent
ApplicationInteraction,AssociationRelationship,ApplicationEvent
ApplicationInteraction,TriggeringRelationship,ApplicationEvent
ApplicationInteraction,ServingRelationship,ApplicationEvent
ApplicationProcess,CompositionRelationship,ApplicationProcess
ApplicationProcess,FlowRelationship,ApplicationProcess
ApplicationProcess,AggregationRelationship,ApplicationProcess
ApplicationProcess,AssociationRelationship,ApplicationProcess
ApplicationProcess,SpecializationRelationship,ApplicationProcess
ApplicationProcess,TriggeringRelationship,ApplicationProcess
ApplicationProcess,ServingRelationship,ApplicationProcess
ApplicationProcess,CompositionRelationship,ApplicationFunction
ApplicationProcess,FlowRelationship,ApplicationFunction
ApplicationProcess,AggregationRelationship,ApplicationFunction
ApplicationProcess,AssociationRelationship,ApplicationFunction
ApplicationProcess,TriggeringRelationship,ApplicationFunction
ApplicationProcess,ServingRelationship,ApplicationFunction
ApplicationProcess,CompositionRelationship,ApplicationInteraction
ApplicationProcess,FlowRelationship,ApplicationInteraction
ApplicationProcess,AggregationRelationship,ApplicationInteraction
ApplicationProcess,AssociationRelationship,ApplicationInteraction
ApplicationProcess,TriggeringRelationship,ApplicationInteraction
ApplicationProcess,ServingRelationship,ApplicationInteraction
ApplicationFunction,CompositionRelationship,ApplicationProcess
ApplicationFunction,FlowRelationship,ApplicationProcess
ApplicationFunction,AggregationRelationship,ApplicationProcess
ApplicationFunction,AssociationRelationship,ApplicationProcess
ApplicationFunction,TriggeringRelationship,ApplicationProcess
ApplicationFunction,ServingRelationship,ApplicationProcess
ApplicationFunction,CompositionRelationship,ApplicationFunction
ApplicationFunction,FlowRelationship,ApplicationFunction
ApplicationFunction,AggregationRelationship,ApplicationFunction
ApplicationFunction,AssociationRelationship,ApplicationFunction
ApplicationFunction,SpecializationRelationship,ApplicationFunction
ApplicationFunction,TriggeringRelationship,ApplicationFunction
ApplicationFunction,ServingRelationship,ApplicationFunction
ApplicationFunction,CompositionRelationship,ApplicationInteraction
ApplicationFunction,FlowRelationship,ApplicationInteraction
ApplicationFunction,AggregationRelationship,ApplicationInteraction
ApplicationFunction,AssociationRelationship,ApplicationInteraction
ApplicationFunction,TriggeringRelationship,ApplicationInteraction
ApplicationFunction,ServingRelationship,ApplicationInteraction
ApplicationInteraction,CompositionRelationship,ApplicationProcess
ApplicationInteraction,FlowRelationship,ApplicationProcess
ApplicationInteraction,AggregationRelationship,ApplicationProcess
ApplicationInteraction,AssociationRelationship,ApplicationProcess
ApplicationInteraction,TriggeringRelationship,ApplicationProcess
ApplicationInteraction,ServingRelationship,ApplicationProcess
ApplicationInteraction,CompositionRelationship,ApplicationFunction
ApplicationInteraction,FlowRelationship,ApplicationFunction
ApplicationInteraction,AggregationRelationship,ApplicationFunction
ApplicationInteraction,AssociationRelationship,ApplicationFunction
ApplicationInteraction,TriggeringRelationship,ApplicationFunction
ApplicationInteraction,ServingRelationship,ApplicationFunction
ApplicationInteraction,CompositionRelationship,ApplicationInteraction
ApplicationInteraction,FlowRelationship,ApplicationInteraction
ApplicationInteraction,AggregationRelationship,ApplicationInteraction
ApplicationInteraction,AssociationRelationship,ApplicationInteraction
ApplicationInteraction,SpecializationRelationship,ApplicationInteraction
ApplicationInteraction,TriggeringRelationship,ApplicationInteraction
ApplicationInteraction,ServingRelationship,ApplicationInteraction
ApplicationEvent,FlowRelationship,ApplicationService
ApplicationEvent,AssociationRelationship,ApplicationService
ApplicationEvent,TriggeringRelationship,ApplicationService
ApplicationEvent,ServingRelationship,ApplicationService
ApplicationEvent,FlowRelationship,ApplicationProcess
ApplicationEvent,AssociationRelationship,ApplicationProcess
ApplicationEvent,TriggeringRelationship,ApplicationProcess
ApplicationEvent,ServingRelationship,ApplicationProcess
ApplicationEvent,FlowRelationship,ApplicationFunction
ApplicationEvent,AssociationRelationship,ApplicationFunction
ApplicationEvent,TriggeringRelationship,ApplicationFunction
ApplicationEvent,ServingRelationship,ApplicationFunction
ApplicationEvent,FlowRelationship,ApplicationInteraction
ApplicationEvent,AssociationRelationship,ApplicationInteraction
ApplicationEvent,TriggeringRelationship,ApplicationInteraction
ApplicationEvent,ServingRelationship,ApplicationInteraction
ApplicationEvent,AccessRelationship,DataObject
ApplicationEvent,AssociationRelationship,DataObject
ApplicationEvent,CompositionRelationship,ApplicationEvent
ApplicationEvent,FlowRelationship,ApplicationEvent
ApplicationEvent,AggregationRelationship,ApplicationEvent
ApplicationEvent,AssociationRelationship,ApplicationEvent
ApplicationEvent,SpecializationRelationship,ApplicationEvent
ApplicationEvent,TriggeringRelationship,ApplicationEvent
ApplicationEvent,ServingRelationship,ApplicationEvent
